seed,model,sampler_type,selector,int_time,logstep_jitter,mean_1st_dim,var_1st_dim,time,jitter_std,n_logprob,n_steps,miness,acceptance_prob,step_size,n_rounds,energy_jump_dist
1,horseshoe_logit,SimpleAHMC,inverted,single_step,adapt,1.2126449612398351,0.2585783718109545,853.839937267,0.09808635711669952,2.5125736e7,5.23286e6,29.122741093143425,0.7029901509409865,0.03733753061716478,20,0.15256060421221507
1,horseshoe_logit,SimpleAHMC,inverted,single_step,adapt,1.0042255435874325,0.11178631549075774,1797.399544669,0.1006917953491209,5.374758e7,1.1339745e7,125.529260373161,0.6746070522931581,0.022239831159336063,21,0.18469861375076485
1,horseshoe_logit,SimpleAHMC,inverted,single_step,adapt,0.8635191939393316,0.13889229450241639,3459.4133876289998,0.0968151092529259,1.01246976e8,2.1117442e7,158.78326838788573,0.6913773431117327,0.023111099329634014,22,0.1691615664221401
26,horseshoe_logit,SimpleAHMC,inverted,single_step,adapt,0.717668431552035,0.00014510299743535117,1.718491274,0.0,104.0,24.0,0.0,0.9857337781694417,0.0390625,2,0.08962709013169956
26,horseshoe_logit,SimpleAHMC,inverted,single_step,adapt,0.7091507147970779,0.0,1.990991787,0.25,320.0,74.0,0.0,0.0,2.041015625,3,0.0
26,horseshoe_logit,SimpleAHMC,inverted,single_step,adapt,0.5646902032875362,0.015332972923198272,2.00455282,0.12500000000000003,744.0,172.0,0.0,0.8483416487872703,0.06776809692382812,4,0.30982883658330707
26,horseshoe_logit,SimpleAHMC,inverted,single_step,adapt,0.33921977512080237,0.0004466888294492425,2.0200211109999997,0.25000000000000006,1180.0,265.0,0.0,0.4062381767984619,0.19059777259826655,5,0.09155307971658645
26,horseshoe_logit,SimpleAHMC,inverted,single_step,adapt,0.2377920895973163,0.0014556064833726244,2.0531472689999997,0.21875000000000008,2140.0,473.0,0.0,0.6038242490391657,0.5714210565201937,6,0.08718892772727928
26,horseshoe_logit,SimpleAHMC,inverted,single_step,adapt,0.2492775917001723,0.002145970729354551,2.1106491419999998,0.08593750000000004,3764.0,815.0,0.0,0.6920102678092694,0.3518368907577949,7,0.19471795277586518
26,horseshoe_logit,SimpleAHMC,inverted,single_step,adapt,0.329624944416175,0.0008654731622531731,2.2147162779999996,0.07421875000000003,6696.0,1420.0,0.5304427672982445,0.6932235524646685,0.2428327368584685,8,0.20656100772288077
