dim,seed,model,nleaps,sampler,ess,ess_exact,n_leapfrog,msjd,margin1_mean,margin1_var,KS,ks_pval,mala
256,14,normal,1,NUTS,501785.7828886063,494516.0396183291,6785090,659.8497001086859,0.0038416417277909853,1.00026649365467,1.5781630001464464,0.013731675245199922,false
8,9,normal,1,AH_fix,77628.1106894493,77376.49299171155,4.877502e6,7.047900254104652,-0.0048635681769442895,0.9996816255798372,1.566429585523565,0.01478330883430193,false
4,17,normal,1,AH_exp,210120.968942284,208071.2916907847,4.795544e6,7.658100748936852,0.00044698708038997916,1.0097700106330831,0.847755121163118,0.4687359742770638,false
4,12,normal,1,AH_fix,341499.3365664448,343527.0824048199,4.664318e6,9.103632935897366,-0.0005214937952225377,0.9939140770703683,0.6988926019805604,0.7130779222479381,false
16,9,normal,1,AH_exp,213563.73852747914,213357.44296001206,5.994564e6,25.879091908009634,-0.0017639580702341882,0.9996670125625337,1.3648544348677945,0.048193936281846775,false
8,20,normal,1,NUTS,471830.3659627294,477022.1628123033,2696512,20.33036487412258,0.0001700885846311944,0.9890894398494481,0.9703394762163953,0.30315958310525437,false
512,20,normal,1,AH_exp,124527.1933124299,123232.46624958074,1.1526996e7,617.8140685639104,-0.0012420542261704446,1.0101304713238064,1.0740659226228857,0.19887582278518948,false
8,10,normal,1,AH_exp,192546.56609222136,192693.28320681787,5.271914e6,13.869888550339013,0.0009144366066835346,0.9989258016355118,0.893567780195724,0.4016728278942395,false
1024,4,normal,1,AH_fix,140934.68145896308,141360.20905804462,1.3967382e7,1429.473265850155,0.0045484489944522715,0.9913063709127315,1.7689715765003484,0.0038281496854075748,false
1024,14,normal,1,AH_unif,119367.62306222474,118573.01088850264,1.3020208e7,1243.267179052329,-0.002138037478691422,1.0056355145533808,1.6228945305061018,0.010312213899234405,false
8,5,normal,1,AM,151979.65816737516,151725.36684008408,5.859766e6,11.798292625423372,-0.0008056354925548517,1.0014813589868703,0.5916671756835967,0.8751202337175426,false
4,7,normal,1,AH_fix,372222.4456340492,372003.021846253,4.838246e6,9.425984920344575,0.0007058508420799205,1.0002253808724146,1.0559364097642288,0.21478875944240616,false
32,2,normal,1,AH_exp,183311.4449593682,183491.88094022227,6.684296e6,49.91694113460633,0.0015472152661453551,0.9981635923545354,1.2147931729095234,0.10451334660411016,false
1024,16,normal,1,AM,97027.96656099582,96390.74990629948,2.3385686e7,1080.1932263470362,-0.006882609332966697,0.9976415170590615,2.0390833114536235,0.0004892806427536285,false
128,15,normal,1,AH_exp,129897.53392374114,129055.76819499162,8.84164e6,169.13113656698997,0.0029061609875318676,1.0043849507887275,1.271629340835375,0.07878786210438285,false
64,9,normal,1,AH_fix,374439.82213110017,375317.09392249497,6.664398e6,156.7884228538663,0.0015379451453950681,0.9959431341982306,1.0508705553974096,0.21940476452231605,false
128,2,normal,1,AH_unif,124601.59862102986,125281.232546371,9.011568e6,173.79975307073883,0.0014354882966313436,0.9940714449144809,1.0845494787759549,0.19009919432854172,false
2,10,normal,1,AH_unif,307514.5585316666,310565.2247611327,4.360144e6,4.137040116141212,0.0016355034524481809,0.9885731416399786,1.023743977749973,0.2454122435878779,false
256,9,normal,1,AM,84045.2681985692,84012.47775616159,1.3644526e7,264.0043731709454,-0.0008927085171770073,1.0002607946421562,0.7172526309402514,0.6823560564802434,false
128,8,normal,1,AH_exp,115951.27201641799,115557.01323835291,8.8394e6,166.9394922086711,-0.006123050823408607,0.994938504153947,2.4742130091801187,9.633028948715645e-6,false
4,16,normal,1,NUTS,311088.0596774073,310493.87670055317,2055814,8.551174076454975,0.0009042630836765306,1.0014151556756066,0.6414454015676938,0.8051325626983254,false
1024,1,normal,1,AM,92125.10192570825,91766.14665276023,2.3384328e7,1079.3769081885084,-0.00339179775009289,1.0018508262283303,1.2036737611175,0.11028563039676062,false
16,2,normal,1,AH_fix,1.0877197918800467e6,1.108836037730215e6,4.808758e6,52.93134683519312,-0.0005228898805668262,0.9803751993260877,1.565465350384443,0.014872866637138707,false
64,20,normal,1,AH_unif,135184.28712621643,133768.60068174315,7.444338e6,86.28841804996352,0.0007094129299773618,1.010449731659387,1.1889139746265869,0.11835187862386724,false
1024,12,normal,1,AH_fix,157107.84845235944,155873.5484152533,1.2967806e7,1520.2799178016967,0.0004740172243393341,1.007847245302986,1.1639272697451588,0.13310708920510037,false
64,1,normal,1,NUTS,416924.7687718324,412826.57909313345,3677742,154.6822866733564,-0.002295949867430381,1.005668815709618,1.1570758077794778,0.1374044775661758,false
1024,12,normal,1,AH_exp,98753.11143748408,98159.93246528142,1.3220382e7,1186.8394780953033,-0.001981581326494195,1.005289042117766,1.7551712222426374,0.004219220567633483,false
32,5,normal,1,AH_fix,115525.71615100905,114613.69552413077,6.56706e6,40.26185552822071,-0.0027647077220115134,1.0062430731565106,1.6945297998855722,0.006411158201049546,false
128,8,normal,1,NUTS,328165.8374387073,326942.06136741326,4215008,275.02485350476627,-0.0018825777777243045,1.001462571211973,0.7351081144392424,0.6522707744126323,false
8,4,normal,1,AH_unif,134128.74780026125,134978.1352949747,5.341034e6,10.420038852562115,0.00293866443809898,0.9914498387663712,1.4019361076087478,0.03925368005501513,false
128,1,normal,1,AM,93263.60596672684,93218.01107087669,1.1697878e7,141.88598778304453,0.0024279478526196144,0.9994184893056361,0.725538052619882,0.6684084794216988,false
32,12,normal,1,AM,127920.68724070032,127944.14259059423,7.800271e6,39.10544085845444,0.0023550397725169182,0.9984354671059291,0.9738709637876184,0.29906769423140245,false
64,8,normal,1,NUTS,321440.85410985583,321260.1592343375,4211530,140.24612061727984,0.00029599542574607963,1.0005057686205785,0.9555368720345996,0.32073535213612714,false
512,17,normal,1,AH_exp,110149.88213445223,111536.50355545565,1.1529406e7,605.0965287764321,0.0026517802725040643,0.986051351313915,1.565240841315628,0.014893788754406017,false
512,18,normal,1,NUTS,696242.2990988964,689582.7027421509,7828132,1488.9390987733175,0.003225250184055168,0.9955136600558816,1.098530173193808,0.17886802623532233,false
16,12,normal,1,NUTS,637977.6452056278,640940.7902542015,3408234,45.778971999303124,0.0012849623573998265,0.9933120013967406,1.2537773432223673,0.08622042205604809,false
1024,3,normal,1,AM,97174.10950901134,97158.7423641747,2.3388072e7,1079.4997497847787,-0.0033509648349855457,0.998025978911544,0.9618651150260007,0.3131377279845381,false
1024,10,normal,1,AM,91604.18708206747,91232.89908365937,2.3386032e7,1080.46039981418,-0.0012937181217357835,1.003772923321869,0.8786218207559386,0.4229144244884203,false
256,11,normal,1,AH_fix,400367.0604215875,397372.7031568877,8.422306e6,638.9494124730318,0.0013391343803045067,1.0061369154422188,1.3245437189193012,0.05986209595600031,false
2,7,normal,1,AM,182674.66613554087,183044.23176377628,3.953946e6,3.3971231016597048,-0.0007581055923043928,0.9977767532529213,0.6609833271942307,0.7748078157511744,false
256,2,normal,1,AH_exp,124793.24129591709,122531.02804453035,1.0069242e7,330.931327077244,-0.006780527440464704,1.0073006312968327,2.0427770948740545,0.0004747466151083193,false
1024,7,normal,1,AH_fix,61565.82724998447,61405.386524380105,1.2635994e7,776.2511954554044,0.0021958945296471893,1.0020371080113304,1.1957138869306618,0.11457743877602684,false
1024,9,normal,1,AM,91743.15618185273,91492.72667131043,2.3387191e7,1079.518318556927,-0.006212793773483998,0.9958380410050551,1.768036359951168,0.0038535596755098376,false
