seed,model,sampler_type,selector,int_time,logstep_jitter,mean_1st_dim,var_1st_dim,time,jitter_std,n_logprob,n_steps,miness,acceptance_prob,step_size,n_rounds,energy_jump_dist
27,mRNA,SimpleAHMC,inverted,rand,adapt,0.15813711172450776,0.0012785417880020959,199.72991161,0.11061859130859313,5.059906e6,1.136162e6,138.62646818391224,0.6629567104954012,0.02972442448463171,16,0.1856700261828916
4,mRNA,SimpleAHMC,inverted,rand,adapt,0.1624255403948717,0.0007984945537017357,206.100740029,0.11881256103515664,4.710605e6,1.235424e6,140.53277773204996,0.6751612896813721,0.022143972149038793,16,0.15558145715640107
24,mRNA,SimpleAHMC,inverted,rand,adapt,0.15360297233724504,0.001341868552725258,201.614598489,0.12126159667968786,4.801287e6,1.239947e6,134.36375534352513,0.6829561388805603,0.03367116439821903,16,0.140042846979603
13,mRNA,HitAndRunSlicer,inverted,single_step,adapt,0.16905751182509363,0.0013327717980212393,22.084083708999998,0,3.303259e6,1.606051e6,139.25444680800015,1.0,10.0,16,0.49780143060724413
25,mRNA,SimpleAHMC,inverted,rand,adapt,-1.2233039031434165,0.003915362301150768,354.589770296,0.1538238525390645,8.942569e6,2.862456e6,131.33446584098215,0.6577270183349518,0.0016140025015614814,16,0.14340580152944177
18,mRNA,SimpleRWMH,inverted,single_step,adapt,0.19557265672673374,0.0008689459286773766,37.695348393,0.4697647094726626,4.904333e6,2.40737e6,254.10308279260207,0.29095342602346513,0.00163475362184868,17,0.11574854809355348
10,mRNA,SimpleAHMC,inverted,rand,adapt,0.15489598485175962,0.0013528766678651636,228.505788137,0.10575866699218851,5.364424e6,1.479179e6,137.8109332094786,0.7051420938300742,0.0384722673810587,16,0.1440243720291371
3,mRNA,SimpleAHMC,inverted,single_step,adapt,0.16537188979233275,0.0010120780546967044,790.866637246,0.12701225280761685,1.9375152e7,4.319502e6,521.3476826628689,0.6740526556723295,0.042049999079519715,18,0.1387877147623907
19,mRNA,HitAndRunSlicer,inverted,single_step,adapt,0.1616523748785997,0.001279825056336608,22.448014700999998,0,3.251847e6,1.600223e6,149.2050376675774,1.0,10.0,16,0.5003750765112044
17,mRNA,SimpleAHMC,inverted,rand,adapt,0.15949430275542262,0.0011582899472860012,263.77029777300004,0.0886764526367181,5.581644e6,1.886991e6,145.71081537165543,0.7329145969690848,0.01102515489960588,16,0.14671166402100352
9,mRNA,SimpleAHMC,inverted,single_step,adapt,0.16754939031573055,0.0014130207173400423,894.904115795,0.11724090576171813,2.3216592e7,5.279862e6,305.6570157893066,0.6916680338782165,0.05498193538593198,18,0.12764991401860495
20,mRNA,SimpleRWMH,inverted,single_step,adapt,-1.7150559881775336,1.6809639850871534e-5,15.068320214,0.0,2.456385e6,1.3462e6,131.28764919445834,0.8216095890877997,0.00036493779198162445,16,0.4025116478101285
8,mRNA,SimpleAHMC,inverted,single_step,adapt,0.16664663483936412,0.0008104137918510815,179.144692357,0.12467956542968645,4.71282e6,1.047135e6,134.31492877116796,0.6441126411492064,0.0018868750406573834,16,0.1866306327798561
1,mRNA,SimpleAHMC,inverted,single_step,adapt,0.19516690355395874,0.0007242860325190658,656.74765903,0.14279174804687475,1.7009448e7,3.728076e6,359.632225767147,0.621879201384941,0.0010510176610185678,18,0.17264992370439186
7,mRNA,SimpleAHMC,inverted,rand,adapt,0.1902778875309443,0.003352692159710346,207.628513831,0.1278915405273431,5.205264e6,1.1737e6,134.0095859002996,0.6754905668671425,0.0716346711479872,16,0.12728140234529314
14,mRNA,SimpleRWMH,inverted,single_step,adapt,0.16450941125557433,0.0011098964402395878,22.543568193,0.43957519531249906,2.690922e6,1.336069e6,142.04998260113408,0.3659431648049908,0.030088330272299377,16,0.1657372332259728
26,mRNA,SimpleRWMH,inverted,single_step,adapt,-1.4956081936985663,0.061004238723967506,3144.529429783,4.4703483581540523e-7,5.55237563e8,2.71545755e8,356.8842798418187,0.7581743076491358,1.4471961760606999e-6,24,0.5491470311390307
28,mRNA,SimpleAHMC,inverted,single_step,adapt,-0.8161450536195841,1.055979832195334e-12,233.219800092,0.3180923461914051,5.893948e6,1.342417e6,131.28294513182647,0.3912782331591962,3.6471813244103947e-7,16,0.40062920283526166
